Steps,MeanDistance
1,1.0
2,1.3737734478532138
3,1.5944271909999153
4,1.7745190107344764
5,2.2758491266811904
6,2.18338027757387
7,2.285411066247105
8,2.680693223538003
9,2.756131148999209
10,2.7685148004253546
11,2.908490070956708
12,3.280987141882902
13,3.82516231374606
14,3.1879592781750548
15,3.322253224265386
16,4.235024087317398
17,3.5617583670839963
18,3.7161771204863623
19,4.030792625052264
20,3.95498229626228
21,3.799891294710475
22,4.378252148143707
23,3.5248673833937127
24,4.866332934887059
25,4.726161119470049
26,4.59090741330991
27,4.364280883778236
28,5.387070261919951
29,4.956314675564227
30,5.00695961267168
31,4.807182815550463
32,4.416453610581725
33,4.652358859961435
34,4.792721161982778
35,5.591784497617616
36,4.687519642188321
37,5.010519164274446
38,5.144430802309559
39,5.948986994610537
40,5.934207810455423
41,5.379561636083805
42,5.826995329024884
43,5.153236572668337
44,5.266186912316816
45,6.324078549469251
46,6.021107388585238
47,6.4857086757995575
48,6.3036875051222525
49,6.361914479416898
50,6.25026189017467
51,6.564794119026066
52,6.359941460493832
53,5.670532665630893
54,6.845036342810624
55,6.8895205313484045
56,5.82771182895971
57,6.8690281976699685
58,6.475584163528073
59,6.054780433554263
60,7.821055076849361
61,5.875463103253077
62,6.922483838062898
63,7.733598896758136
64,7.430474153684604
65,7.016195590577606
66,6.77756792400361
67,6.996399933431941
68,7.1596624503877475
69,7.474051463574744
70,6.40908450356645
71,7.192890369396257
72,7.617859523175354
73,6.917204538832118
74,8.027769185656338
75,7.219602951194373
76,7.83319576002518
77,8.29448525536325
78,7.1784100611600685
79,7.791256527748491
80,7.763242544926151
81,7.455104465934698
82,7.994474714126517
83,8.830045344380771
84,8.464298994265011
85,8.78715701575853
86,8.028515042844893
87,8.909682596448318
88,8.624521354268035
89,8.513911582461441
90,8.948981529266367
91,9.28062229133656
92,8.64729354266082
93,7.730004141068828
94,7.804327845724146
95,8.822944763965522
96,8.870529409183751
97,9.013592050600709
98,8.547546019105102
99,8.209185726113569
100,9.118694233750814
101,9.111206041619644
102,9.371248029644523
103,10.435900246669421
104,8.746673505285521
105,8.58101627669128
106,9.00546754549109
107,10.018428058509167
108,8.558564524326624
109,9.293973557732562
110,8.649943209544798
111,8.710583984181016
112,9.344679469722964
113,10.835710659106917
114,9.374037115035597
115,10.43839294781555
116,8.384020781640839
117,10.05550898730846
118,10.205796055730834
119,9.74622412513182
120,9.612154915184991
121,9.330762339950693
122,10.034745779549755
123,9.241948190006086
124,10.282593099003673
125,9.136141432974792
126,9.673752711089614
127,9.943017878787673
128,8.925603472924081
129,9.362454750520032
130,10.919784209552972
131,9.7465042047938
132,9.766322719580469
133,10.265985830054484
134,10.19491220982848
135,9.729802788974077
